baseline_average,baseline_name,delta_baseline_minus_dn,dn_average,scored_pairs,theme_id
1.15,sdm_v2,-3.8167,4.9667,10,theme_001_game_1776417898_zthbu3
1.75,sdm_v2,-2.5833,4.3333,4,theme_002_game_1776418186_406ktb
1.2,sdm_v2,-3.3833,4.5833,10,theme_003_game_1776418475_uho8y4
1.6667,sdm_v2,-2.7333,4.4,10,theme_004_game_1776418746_kox2ae
1.15,sdm_v2,-3.7667,4.9167,10,theme_005_game_1776419026_gflx4b
1.6667,sdm_v2,-3.3333,5,1,theme_006_game_1776419299_05783f
1.5,sdm_v2,-3.4,4.9,10,theme_012_game_1776419613_9xv3kl
1.2333,sdm_v2,-3.3167,4.55,10,theme_018_game_1776419881_ts9erz
1,sdm_v2,-3.6667,4.6667,2,theme_054_game_1776420257_ds08b3
1.15,sdm_v2,-3.3667,4.5167,10,theme_073_game_1776420517_nejnnv
