benchmark_id,theme_id,theme,style_type,style_subtype,game_id,ref,candidate,ref_role,candidate_role,scene_json,baseline,metric,score,higher_is_more_consistent,dn_has_scene,dn_has_image,dn_option_count,dn_scene_prompt_polluted,dn_scene_text_non_empty,dn_queue_mean_ms,dn_worldview_elapsed_s,dn_generate_option_elapsed_s,dn_main_character_completion_s
DNQBV1_001,1,边陲驿站夜谈录,realistic,,game_1776587035_ymzifm,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776587035_ymzifm\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587035_ymzifm\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587035_ymzifm\scene_00001.json,clip_i,clip_i_cosine,0.36521387100219727,true,1,1,2,0,1,0.0,8.673,138.939,0.015
DNQBV1_002,9,末日温室园丁,realistic,,game_1776587183_45h8kv,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776587183_45h8kv\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587183_45h8kv\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587183_45h8kv\scene_00001.json,clip_i,clip_i_cosine,0.5560738444328308,true,1,1,2,0,1,3755.043,8.98,0.027,40.368
DNQBV1_003,19,都市天台养鸽人,realistic,,game_1776587232_m6ixbo,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776587232_m6ixbo\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587232_m6ixbo\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587232_m6ixbo\scene_00001.json,clip_i,clip_i_cosine,0.5692741870880127,true,1,1,2,0,1,0.0,8.776,0.02,50.513
DNQBV1_004,30,克隆体伦理庭,realistic,,game_1776587291_g61nmj,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776587291_g61nmj\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587291_g61nmj\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587291_g61nmj\scene_00001.json,clip_i,clip_i_cosine,0.5285847187042236,true,1,1,2,0,1,3355.667,8.713,0.01,62.575
DNQBV1_005,2,月球矿难七日,cyberpunk,,game_1776587363_tq7zgu,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776587363_tq7zgu\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587363_tq7zgu\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587363_tq7zgu\scene_00001.json,clip_i,clip_i_cosine,0.47053131461143494,true,1,1,2,0,1,7929.737,30.028,0.027,74.692
DNQBV1_006,7,星际走私航线,cyberpunk,,game_1776587467_0wldxp,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776587467_0wldxp\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587467_0wldxp\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587467_0wldxp\scene_00001.json,clip_i,clip_i_cosine,0.5347184538841248,true,1,1,2,0,1,0.0,12.106,0.03,121.156
DNQBV1_007,20,意识上传遗嘱,cyberpunk,,game_1776587601_mk0unp,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776587601_mk0unp\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587601_mk0unp\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587601_mk0unp\scene_00001.json,clip_i,clip_i_cosine,0.4665849804878235,true,1,1,2,0,1,0.0,8.303,0.021,64.682
DNQBV1_009,3,茶肆说书人,ink_painting,,game_1776587734_z42211,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776587734_z42211\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587734_z42211\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587734_z42211\scene_00001.json,clip_i,clip_i_cosine,0.44139352440834045,true,1,1,2,0,1,3433.172,9.384,0.007,56.623
DNQBV1_010,8,古刹钟楼秘藏,ink_painting,,game_1776587800_zr43jo,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776587800_zr43jo\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587800_zr43jo\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587800_zr43jo\scene_00001.json,clip_i,clip_i_cosine,0.5402283668518066,true,1,1,2,1,1,11993.333,39.77,0.022,42.334
DNQBV1_011,21,书院禁书风波,ink_painting,,game_1776587882_w82ibx,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776587882_w82ibx\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587882_w82ibx\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587882_w82ibx\scene_00001.json,clip_i,clip_i_cosine,0.7477990984916687,true,1,1,2,0,1,311.125,10.196,0.022,42.388
DNQBV1_012,4,深海信标失联,watercolor,,game_1776587934_zhfq63,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776587934_zhfq63\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587934_zhfq63\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587934_zhfq63\scene_00001.json,clip_i,clip_i_cosine,0.6031357645988464,true,1,1,2,0,1,2777.581,11.751,0.01,64.619
DNQBV1_013,11,北极科考站怪声,watercolor,,game_1776588011_3roxbx,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776588011_3roxbx\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588011_3roxbx\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588011_3roxbx\scene_00001.json,clip_i,clip_i_cosine,0.5209144949913025,true,1,1,2,0,1,364.692,7.884,0.007,64.512
DNQBV1_014,23,雨林部落预言,watercolor,,game_1776588083_6b5jnl,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776588083_6b5jnl\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588083_6b5jnl\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588083_6b5jnl\scene_00001.json,clip_i,clip_i_cosine,0.6277247667312622,true,1,1,2,0,1,366.188,8.41,11.336,48.419
DNQBV1_015,5,魔法学院期末周,anime,,game_1776588151_ai7klf,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776588151_ai7klf\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588151_ai7klf\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588151_ai7klf\scene_00001.json,clip_i,clip_i_cosine,0.5288503170013428,true,1,1,2,0,1,3124.71,11.773,0.03,62.571
DNQBV1_016,10,像素神殿考古,anime,,game_1776588226_0471xq,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776588226_0471xq\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588226_0471xq\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588226_0471xq\scene_00001.json,clip_i,clip_i_cosine,0.5367388725280762,true,1,1,2,0,1,359.769,8.042,0.02,60.564
DNQBV1_017,24,近地轨道维修工,anime,,game_1776588294_zm4j6e,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776588294_zm4j6e\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588294_zm4j6e\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588294_zm4j6e\scene_00001.json,clip_i,clip_i_cosine,0.7550397515296936,true,1,1,2,0,1,290.188,8.538,0.025,44.351
DNQBV1_018,6,民国电报迷案,oil_painting,impressionist,game_1776588347_d1mney,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776588347_d1mney\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588347_d1mney\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588347_d1mney\scene_00001.json,clip_i,clip_i_cosine,0.6153079271316528,true,1,1,2,0,1,2510.474,19.689,0.021,56.47
DNQBV1_019,12,维多利亚钟表匠,oil_painting,rococo,game_1776588423_drklyn,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776588423_drklyn\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588423_drklyn\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588423_drklyn\scene_00001.json,clip_i,clip_i_cosine,0.606538712978363,true,1,1,2,0,1,0.0,9.026,0.022,64.559
DNQBV1_020,18,沙漠商队星图,oil_painting,classic_oil,game_1776588497_djxoei,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776588497_djxoei\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588497_djxoei\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588497_djxoei\scene_00001.json,clip_i,clip_i_cosine,0.6348600387573242,true,1,1,2,0,1,0.0,10.276,0.03,48.405
DNQBV1_001,1,边陲驿站夜谈录,realistic,,game_1776587035_ymzifm,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776587035_ymzifm\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587035_ymzifm\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587035_ymzifm\scene_00001.json,dinov2,dinov2_cosine,0.0006413944065570831,true,1,1,2,0,1,0.0,8.673,138.939,0.015
DNQBV1_002,9,末日温室园丁,realistic,,game_1776587183_45h8kv,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776587183_45h8kv\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587183_45h8kv\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587183_45h8kv\scene_00001.json,dinov2,dinov2_cosine,0.24755719304084778,true,1,1,2,0,1,3755.043,8.98,0.027,40.368
DNQBV1_003,19,都市天台养鸽人,realistic,,game_1776587232_m6ixbo,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776587232_m6ixbo\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587232_m6ixbo\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587232_m6ixbo\scene_00001.json,dinov2,dinov2_cosine,0.27575674653053284,true,1,1,2,0,1,0.0,8.776,0.02,50.513
DNQBV1_004,30,克隆体伦理庭,realistic,,game_1776587291_g61nmj,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776587291_g61nmj\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587291_g61nmj\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587291_g61nmj\scene_00001.json,dinov2,dinov2_cosine,0.0982859879732132,true,1,1,2,0,1,3355.667,8.713,0.01,62.575
DNQBV1_005,2,月球矿难七日,cyberpunk,,game_1776587363_tq7zgu,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776587363_tq7zgu\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587363_tq7zgu\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587363_tq7zgu\scene_00001.json,dinov2,dinov2_cosine,0.10558586567640305,true,1,1,2,0,1,7929.737,30.028,0.027,74.692
DNQBV1_006,7,星际走私航线,cyberpunk,,game_1776587467_0wldxp,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776587467_0wldxp\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587467_0wldxp\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587467_0wldxp\scene_00001.json,dinov2,dinov2_cosine,0.1719612181186676,true,1,1,2,0,1,0.0,12.106,0.03,121.156
DNQBV1_007,20,意识上传遗嘱,cyberpunk,,game_1776587601_mk0unp,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776587601_mk0unp\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587601_mk0unp\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587601_mk0unp\scene_00001.json,dinov2,dinov2_cosine,0.11432832479476929,true,1,1,2,0,1,0.0,8.303,0.021,64.682
DNQBV1_009,3,茶肆说书人,ink_painting,,game_1776587734_z42211,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776587734_z42211\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587734_z42211\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587734_z42211\scene_00001.json,dinov2,dinov2_cosine,0.025937175378203392,true,1,1,2,0,1,3433.172,9.384,0.007,56.623
DNQBV1_010,8,古刹钟楼秘藏,ink_painting,,game_1776587800_zr43jo,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776587800_zr43jo\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587800_zr43jo\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587800_zr43jo\scene_00001.json,dinov2,dinov2_cosine,0.07181926816701889,true,1,1,2,1,1,11993.333,39.77,0.022,42.334
DNQBV1_011,21,书院禁书风波,ink_painting,,game_1776587882_w82ibx,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776587882_w82ibx\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587882_w82ibx\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587882_w82ibx\scene_00001.json,dinov2,dinov2_cosine,0.4502163827419281,true,1,1,2,0,1,311.125,10.196,0.022,42.388
DNQBV1_012,4,深海信标失联,watercolor,,game_1776587934_zhfq63,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776587934_zhfq63\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587934_zhfq63\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587934_zhfq63\scene_00001.json,dinov2,dinov2_cosine,0.17292457818984985,true,1,1,2,0,1,2777.581,11.751,0.01,64.619
DNQBV1_013,11,北极科考站怪声,watercolor,,game_1776588011_3roxbx,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776588011_3roxbx\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588011_3roxbx\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588011_3roxbx\scene_00001.json,dinov2,dinov2_cosine,0.25619423389434814,true,1,1,2,0,1,364.692,7.884,0.007,64.512
DNQBV1_014,23,雨林部落预言,watercolor,,game_1776588083_6b5jnl,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776588083_6b5jnl\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588083_6b5jnl\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588083_6b5jnl\scene_00001.json,dinov2,dinov2_cosine,0.1764640063047409,true,1,1,2,0,1,366.188,8.41,11.336,48.419
DNQBV1_015,5,魔法学院期末周,anime,,game_1776588151_ai7klf,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776588151_ai7klf\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588151_ai7klf\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588151_ai7klf\scene_00001.json,dinov2,dinov2_cosine,0.08163321763277054,true,1,1,2,0,1,3124.71,11.773,0.03,62.571
DNQBV1_016,10,像素神殿考古,anime,,game_1776588226_0471xq,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776588226_0471xq\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588226_0471xq\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588226_0471xq\scene_00001.json,dinov2,dinov2_cosine,0.24096080660820007,true,1,1,2,0,1,359.769,8.042,0.02,60.564
DNQBV1_017,24,近地轨道维修工,anime,,game_1776588294_zm4j6e,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776588294_zm4j6e\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588294_zm4j6e\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588294_zm4j6e\scene_00001.json,dinov2,dinov2_cosine,0.28699636459350586,true,1,1,2,0,1,290.188,8.538,0.025,44.351
DNQBV1_018,6,民国电报迷案,oil_painting,impressionist,game_1776588347_d1mney,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776588347_d1mney\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588347_d1mney\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588347_d1mney\scene_00001.json,dinov2,dinov2_cosine,0.17833417654037476,true,1,1,2,0,1,2510.474,19.689,0.021,56.47
DNQBV1_019,12,维多利亚钟表匠,oil_painting,rococo,game_1776588423_drklyn,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776588423_drklyn\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588423_drklyn\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588423_drklyn\scene_00001.json,dinov2,dinov2_cosine,0.11662749946117401,true,1,1,2,0,1,0.0,9.026,0.022,64.559
DNQBV1_020,18,沙漠商队星图,oil_painting,classic_oil,game_1776588497_djxoei,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776588497_djxoei\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588497_djxoei\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588497_djxoei\scene_00001.json,dinov2,dinov2_cosine,0.29651498794555664,true,1,1,2,0,1,0.0,10.276,0.03,48.405
