benchmark_id,theme_id,theme,style_type,style_subtype,game_id,ref,candidate,ref_role,candidate_role,scene_json,dn_has_scene,dn_has_image,dn_option_count,dn_scene_prompt_polluted,dn_scene_text_non_empty,clip_i_score,dinov2_score,dreamsim_score,clip_i_z,dinov2_z,combined_similarity_z
DNQBV1_011,21,书院禁书风波,ink_painting,,game_1776587882_w82ibx,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776587882_w82ibx\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587882_w82ibx\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587882_w82ibx\scene_00001.json,1,1,2,0,1,0.7477990984916687,0.4502163827419281,,2.0131,2.5414,2.2772
DNQBV1_017,24,近地轨道维修工,anime,,game_1776588294_zm4j6e,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776588294_zm4j6e\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588294_zm4j6e\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588294_zm4j6e\scene_00001.json,1,1,2,0,1,0.7550397515296936,0.28699636459350586,,2.0909,1.0215,1.5562
DNQBV1_020,18,沙漠商队星图,oil_painting,classic_oil,game_1776588497_djxoei,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776588497_djxoei\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588497_djxoei\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588497_djxoei\scene_00001.json,1,1,2,0,1,0.6348600387573242,0.29651498794555664,,0.7992,1.1101,0.9546
DNQBV1_003,19,都市天台养鸽人,realistic,,game_1776587232_m6ixbo,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776587232_m6ixbo\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587232_m6ixbo\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587232_m6ixbo\scene_00001.json,1,1,2,0,1,0.5692741870880127,0.27575674653053284,,0.0943,0.9168,0.5055
DNQBV1_014,23,雨林部落预言,watercolor,,game_1776588083_6b5jnl,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776588083_6b5jnl\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588083_6b5jnl\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588083_6b5jnl\scene_00001.json,1,1,2,0,1,0.6277247667312622,0.1764640063047409,,0.7225,-0.0078,0.3574
DNQBV1_002,9,末日温室园丁,realistic,,game_1776587183_45h8kv,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776587183_45h8kv\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587183_45h8kv\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587183_45h8kv\scene_00001.json,1,1,2,0,1,0.5560738444328308,0.24755719304084778,,-0.0476,0.6542,0.3033
DNQBV1_018,6,民国电报迷案,oil_painting,impressionist,game_1776588347_d1mney,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776588347_d1mney\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588347_d1mney\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588347_d1mney\scene_00001.json,1,1,2,0,1,0.6153079271316528,0.17833417654037476,,0.5891,0.0096,0.2994
DNQBV1_012,4,深海信标失联,watercolor,,game_1776587934_zhfq63,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776587934_zhfq63\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587934_zhfq63\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776587934_zhfq63\scene_00001.json,1,1,2,0,1,0.6031357645988464,0.17292457818984985,,0.4582,-0.0408,0.2087
DNQBV1_016,10,像素神殿考古,anime,,game_1776588226_0471xq,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776588226_0471xq\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588226_0471xq\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588226_0471xq\scene_00001.json,1,1,2,0,1,0.5367388725280762,0.24096080660820007,,-0.2554,0.5928,0.1687
DNQBV1_013,11,北极科考站怪声,watercolor,,game_1776588011_3roxbx,C:\Users\User\Desktop\DN-main\initial\main_character\game_1776588011_3roxbx\main_character.png,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588011_3roxbx\scene_00001.png,DN main_character image,DN first scene image,C:\Users\User\Desktop\DN-main\DN-experiment\game_1776588011_3roxbx\scene_00001.json,1,1,2,0,1,0.5209144949913025,0.25619423389434814,,-0.4255,0.7346,0.1546
