theme_id,theme,worldview_s,generate_option_s,main_character_s,has_scene,has_image,queue_mean_ms,queue_p95_ms,completed
9,末日温室园丁,9.384,0.028,133.243,True,True,1923.27,6064.2,True
10,像素神殿考古,12.849,0.02,183.835,True,True,7720.971,34994.9,True
11,北极科考站怪声,10.694,55.652,48.368,True,True,2042.84,8244.0,True
12,维多利亚钟表匠,192.806,0.023,56.488,True,True,749.533,3372.9,True
13,赛博庙会巡游,26.611,97.474,0.023,True,True,0.0,0.0,True
14,草原迁徙史诗,27.712,0.02,62.446,True,True,4789.13,38814.8,True
15,海底城邦政变,61.257,0.03,62.489,True,True,0.0,0.0,True
16,江湖镖局最后一单,9.506,0.018,52.44,True,True,0.0,0.0,True
17,时间裂缝便利店,8.471,0.023,46.362,True,True,311.688,1246.75,True
18,沙漠商队星图,12.506,0.01,64.656,True,True,3108.548,7017.5,True
19,都市天台养鸽人,8.268,0.011,88.889,True,True,578.333,2888.5,True
20,意识上传遗嘱,9.045,0.01,66.627,True,True,1450.75,11506.0,True
