benchmark_id,theme,image,width,height,mean_rgb,std_rgb,black_ratio,white_ratio,file_size,auto_flag,path
DNQBV1_001,边陲驿站夜谈录,image_001.png,512,512,72.15,60.47,0.0,0.0,327120,,D:\Projects\DN\remote_baseline_results_20260430\outputs\storydiffusion_formal8\storydiffusion_formal8_unstable_20260430_1131\DNQBV1_001\image_001.png
DNQBV1_001,边陲驿站夜谈录,image_002.png,512,512,80.02,45.17,0.0,0.0,332591,,D:\Projects\DN\remote_baseline_results_20260430\outputs\storydiffusion_formal8\storydiffusion_formal8_unstable_20260430_1131\DNQBV1_001\image_002.png
DNQBV1_001,边陲驿站夜谈录,image_003.png,512,512,71.53,59.95,0.0,0.0,339305,,D:\Projects\DN\remote_baseline_results_20260430\outputs\storydiffusion_formal8\storydiffusion_formal8_unstable_20260430_1131\DNQBV1_001\image_003.png
DNQBV1_001,边陲驿站夜谈录,image_004.png,512,512,71.8,59.85,0.0,0.0,330154,,D:\Projects\DN\remote_baseline_results_20260430\outputs\storydiffusion_formal8\storydiffusion_formal8_unstable_20260430_1131\DNQBV1_001\image_004.png
DNQBV1_002,末日温室园丁,image_001.png,512,512,85.79,63.22,0.0,0.0,272470,,D:\Projects\DN\remote_baseline_results_20260430\outputs\storydiffusion_formal8\storydiffusion_formal8_unstable_20260430_1131\DNQBV1_002\image_001.png
DNQBV1_002,末日温室园丁,image_002.png,512,512,89.35,46.99,0.0,0.0,318612,,D:\Projects\DN\remote_baseline_results_20260430\outputs\storydiffusion_formal8\storydiffusion_formal8_unstable_20260430_1131\DNQBV1_002\image_002.png
DNQBV1_002,末日温室园丁,image_003.png,512,512,85.35,64.69,0.0,0.0,283005,,D:\Projects\DN\remote_baseline_results_20260430\outputs\storydiffusion_formal8\storydiffusion_formal8_unstable_20260430_1131\DNQBV1_002\image_003.png
DNQBV1_002,末日温室园丁,image_004.png,512,512,85.85,66.72,0.0,0.0,282829,,D:\Projects\DN\remote_baseline_results_20260430\outputs\storydiffusion_formal8\storydiffusion_formal8_unstable_20260430_1131\DNQBV1_002\image_004.png
DNQBV1_004,克隆体伦理庭,image_001.png,512,512,85.95,60.65,0.0,0.0,299246,,D:\Projects\DN\remote_baseline_results_20260430\outputs\storydiffusion_formal8\storydiffusion_formal8_unstable_20260430_1131\DNQBV1_004\image_001.png
DNQBV1_004,克隆体伦理庭,image_002.png,512,512,94.41,49.02,0.0,0.0,356549,,D:\Projects\DN\remote_baseline_results_20260430\outputs\storydiffusion_formal8\storydiffusion_formal8_unstable_20260430_1131\DNQBV1_004\image_002.png
DNQBV1_004,克隆体伦理庭,image_003.png,512,512,84.01,59.46,0.0,0.0,300922,,D:\Projects\DN\remote_baseline_results_20260430\outputs\storydiffusion_formal8\storydiffusion_formal8_unstable_20260430_1131\DNQBV1_004\image_003.png
DNQBV1_004,克隆体伦理庭,image_004.png,512,512,84.36,59.94,0.0,0.0,322347,,D:\Projects\DN\remote_baseline_results_20260430\outputs\storydiffusion_formal8\storydiffusion_formal8_unstable_20260430_1131\DNQBV1_004\image_004.png
DNQBV1_005,月球矿难七日,image_001.png,512,512,77.89,60.95,0.0,0.0,316055,,D:\Projects\DN\remote_baseline_results_20260430\outputs\storydiffusion_formal8\storydiffusion_formal8_unstable_20260430_1131\DNQBV1_005\image_001.png
