baseline,baseline_avg,delta_baseline_minus_dn,dn_avg,evaluated_pairs,theme_id
IC-LoRA,3.7483,-1.0217,4.77,10,theme_001_game_1776417898_zthbu3
IC-LoRA,3.8708,-0.8,4.6708,4,theme_002_game_1776418186_406ktb
IC-LoRA,3.8083,-0.9117,4.72,10,theme_003_game_1776418475_uho8y4
IC-LoRA,3.8067,-0.865,4.6717,10,theme_004_game_1776418746_kox2ae
IC-LoRA,3.8333,-0.8184,4.6517,10,theme_005_game_1776419026_gflx4b
IC-LoRA,4.1667,-0.65,4.8167,1,theme_006_game_1776419299_05783f
IC-LoRA,3.835,-0.8983,4.7333,10,theme_012_game_1776419613_9xv3kl
IC-LoRA,3.8334,-0.8566,4.69,10,theme_018_game_1776419881_ts9erz
IC-LoRA,3.8917,-0.8916,4.7834,2,theme_054_game_1776420257_ds08b3
IC-LoRA,3.8683,-0.815,4.6833,10,theme_073_game_1776420517_nejnnv
SDM-v2,2.185,-2.5917,4.7767,10,theme_001_game_1776417898_zthbu3
SDM-v2,3.0292,-1.6875,4.7166,4,theme_002_game_1776418186_406ktb
SDM-v2,2.3,-2.3883,4.6883,10,theme_003_game_1776418475_uho8y4
SDM-v2,3.0533,-1.5367,4.59,10,theme_004_game_1776418746_kox2ae
SDM-v2,1.9033,-2.895,4.7984,10,theme_005_game_1776419026_gflx4b
SDM-v2,2.3667,-2.3833,4.75,1,theme_006_game_1776419299_05783f
SDM-v2,2.9183,-1.8234,4.7417,10,theme_012_game_1776419613_9xv3kl
SDM-v2,2.6417,-2.0367,4.6783,10,theme_018_game_1776419881_ts9erz
SDM-v2,1.9166,-2.7917,4.7083,2,theme_054_game_1776420257_ds08b3
SDM-v2,1.9867,-2.7,4.6867,10,theme_073_game_1776420517_nejnnv
StoryDiffusion,3.6283,-1.1317,4.76,10,theme_001_game_1776417898_zthbu3
StoryDiffusion,3.4583,-1.2041,4.6625,4,theme_002_game_1776418186_406ktb
StoryDiffusion,3.5917,-1.0967,4.6883,10,theme_003_game_1776418475_uho8y4
StoryDiffusion,3.9767,-0.6983,4.675,10,theme_004_game_1776418746_kox2ae
StoryDiffusion,3.3583,-1.3183,4.6767,10,theme_005_game_1776419026_gflx4b
StoryDiffusion,4.1167,-0.6333,4.75,1,theme_006_game_1776419299_05783f
StoryDiffusion,3.475,-1.2333,4.7083,10,theme_012_game_1776419613_9xv3kl
StoryDiffusion,3.6634,-1.065,4.7283,10,theme_018_game_1776419881_ts9erz
StoryDiffusion,3.6167,-1.1333,4.75,2,theme_054_game_1776420257_ds08b3
StoryDiffusion,3.73,-0.945,4.675,10,theme_073_game_1776420517_nejnnv
